node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,views,partner,mature,days,clustering_coef
127,745,0.40032240730789903,0.5999368810186347,0.10049935007205818,0.1789056752506546,0.012143425249639515,32672093,True,False,1592,0.039027206466046044
1476,578,0.3105857066093498,0.5577284534304324,0.054118886325491826,0.14597247350393316,0.009124155043348573,18475754,True,False,2195,0.04536050325931168
1297,572,0.30736163353036006,0.567453299513496,0.051244608992388155,0.15929400911410652,0.008717470716615924,7724802,True,False,2215,0.05862001396152009
290,570,0.3062869425040301,0.5589047412201321,0.05049296659056532,0.15138586549125557,0.008789625515760973,116392808,True,False,1896,0.05089260937933586
467,568,0.3052122514777002,0.5645176007637305,0.04462621878045962,0.15827019322534872,0.008637967511010715,11392773,True,False,1774,0.058437042005117124
1660,459,0.24664159054271897,0.5405025746240147,0.026457053249212322,0.13315023197960754,0.006861391528540933,33101623,True,False,2024,0.0639133868006203
67,446,0.23965609887157444,0.5436708194928542,0.03517024945095847,0.13331539428819233,0.0065209982128882705,6905465,True,True,1660,0.07760366806066409
1320,397,0.21332616872649116,0.5200462114128451,0.018399586197277464,0.11753912019642612,0.0058730998014914415,40659090,True,False,2490,0.0719919599012798
1758,379,0.20365394948952178,0.517868463458855,0.01614952933609834,0.11493398508721069,0.005726969022052402,4397521,True,False,1359,0.07245466348368723
1259,374,0.20096722192369695,0.5231260113112292,0.023736030496296558,0.11186519157668529,0.00574016454621033,17962557,True,False,2153,0.07456523920804004
1593,359,0.1929070392262225,0.5287927126880326,0.01973885686050096,0.1269886836233883,0.005211506138089981,3094236,True,False,1555,0.10678327445884751
287,347,0.1864588930682429,0.5229785272369942,0.023012664038189044,0.11130877494751208,0.005166522670507413,7443937,True,True,2238,0.08952041445253286
103,340,0.18269747447608814,0.5110206160081593,0.013875568358619767,0.10027139422200458,0.0049903059020655624,40456102,True,False,2454,0.06743015790386951
428,325,0.17463729177861367,0.5215082474303117,0.022386134345264822,0.1133479185751066,0.004828300423989721,552640,True,True,845,0.10919278252611586
471,316,0.169801182160129,0.5220953662002866,0.02157922144201863,0.10113177214854123,0.004857827112356092,2595197,True,True,1534,0.09535864978902954
1142,292,0.1569048898441698,0.5141365953740628,0.010958420287697394,0.10801599235118532,0.004164441678621267,5691433,True,False,1919,0.11987478228122204
1311,287,0.15421816227834498,0.49519616553914003,0.018938747752630734,0.06762184994404594,0.004685062269672399,7070233,True,False,2082,0.04366365341975098
305,273,0.14669532509403546,0.4974536969990932,0.0127928297203344,0.08277797553751459,0.004145259749332075,14861110,True,False,2225,0.07549558284852402
1821,270,0.14508328855454058,0.496388770700995,0.010926677975383114,0.08148590027256412,0.00419509453149057,2329443,True,False,1379,0.0822249759052733
1721,270,0.14508328855454058,0.49335235002915384,0.009277434591152059,0.07570347311808802,0.00399471577414919,11186291,True,False,2241,0.06234338427646978
1739,268,0.14400859752821066,0.49692066330287127,0.007752868798789852,0.08278160664446711,0.0038934412380126704,35175114,True,False,1781,0.0868969757951814
36,267,0.14347125201504568,0.5132830205062586,0.012504550952089188,0.09763813153738023,0.0038074539415003314,1577684,True,False,2036,0.12793219002562586
188,265,0.14239656098871575,0.519900458550902,0.012453494968222976,0.10572484122901253,0.003618111734386515,10455,False,True,2000,0.16052029731275014
455,254,0.13648576034390114,0.49959731648521905,0.0167690953535208,0.07523140768037344,0.003991932937260013,4521724,True,False,1298,0.07332482649155021
369,234,0.12573885008060184,0.5044886690534724,0.007935776426061086,0.08713941366120194,0.003241903796419816,2091240,True,True,963,0.14500568577821796
777,226,0.12144008597528211,0.5122907583843188,0.012455613007678609,0.08822264198040186,0.003176210112522843,2467726,True,False,1103,0.16220255653883972
1374,225,0.12090274046211714,0.4959905978902723,0.010700721067283314,0.07737059321939427,0.0033576041050776585,4493915,True,False,1868,0.12626984126984128
682,224,0.12036539494895218,0.4916524877046431,0.014568553202424029,0.0580823174931402,0.003586475384107499,7163779,True,False,2336,0.07551249199231262
1014,218,0.1171413218699624,0.4993283542690763,0.021567476095420146,0.06411094529165068,0.0038307155718156597,3367727,False,False,1780,0.08650065530799476
781,216,0.11606663084363246,0.4891890390584437,0.012719054391058094,0.0580517847322236,0.003590146832895996,3242219,True,False,2279,0.06154177433247201
628,214,0.11499193981730253,0.5004059444590284,0.007864868799687919,0.07822411770640463,0.003028281940110261,5443111,True,False,622,0.14207362555394673
35,210,0.11284255776464268,0.49852320239441505,0.0066076618989235605,0.0808246346426194,0.002970934843289869,984385,True,False,2071,0.14850763271815903
