node,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,community_leiden,views,partner,mature,days,clustering_coef
127,0.4013605442176871,0.6009433962264151,0.09926136702546555,0.17877831012617346,0,32672093,True,False,1592,0.03901130510857466
1476,0.3129251700680272,0.5594262295081968,0.05489487265841772,0.1457607576802339,0,18475754,True,False,2195,0.04458188377786368
290,0.3087388801674516,0.5595900439238654,0.05011201385679396,0.15150156437553064,0,116392808,True,False,1896,0.05042732583235015
1297,0.30716902145473574,0.5684116597263533,0.05042095543765289,0.1586680327215521,0,7724802,True,False,2215,0.058404218825403656
467,0.304552590266876,0.565050266114725,0.0438247362280139,0.1572393891554248,0,11392773,True,False,1774,0.05823588906435758
1660,0.24856096284667714,0.5416666666666666,0.026246640254735824,0.13375702630371897,0,33101623,True,False,2024,0.06379746835443038
67,0.23757195185766616,0.5435153583617748,0.034425706705748134,0.13118052973454394,2,6905465,True,True,1660,0.07685425601229201
1320,0.217687074829932,0.5225594749794914,0.019433583238574585,0.11858724919571526,0,40659090,True,False,2490,0.07043558850787766
1758,0.20617477760334904,0.5197171607288551,0.01626543513376421,0.11540890407339241,0,4397521,True,False,1359,0.07132431769158239
1259,0.20146520146520147,0.5237051246916964,0.02329466551672273,0.11184618949817024,0,17962557,True,False,2153,0.07448593073593074
1593,0.1925693354264783,0.5295095594347464,0.019500908312345994,0.1258976204853148,0,3094236,True,False,1555,0.10589681317379457
287,0.184720041862899,0.5227024070021882,0.02212076424483572,0.1097364340452204,2,7443937,True,True,2238,0.0890902652588205
103,0.1836734693877551,0.5117836100696305,0.013704496527797075,0.10032241570030286,0,40456102,True,False,2454,0.06692714692714692
428,0.17373103087388803,0.5219885277246654,0.021980008718637745,0.1127115602630264,0,552640,True,True,845,0.10999890801878208
471,0.16745159602302462,0.5221311475409836,0.020905482835766653,0.09912428185131193,1,2595197,True,True,1534,0.09482758620689655
1142,0.15698587127158556,0.5150943396226415,0.010398334218557107,0.10737668271023323,0,5691433,True,False,1919,0.11901895206243032
1311,0.15279958137100996,0.49571984435797667,0.019398554708443164,0.06639740079492475,1,7070233,True,False,2082,0.043143623781951704
1739,0.14652014652014653,0.4981751824817518,0.008171996888699146,0.0834253284651021,0,35175114,True,False,1781,0.084715821812596
