id,days,mature,views,partner,new_id,username,created_at,profile_pic,broadcaster_type,game_name
68458707,1522,False,4405,False,3558,Artax3d,2014-08-08,https://static-cdn.jtvnw.net/jtv_user_pictures/f82daef3-35ac-4dbe-a88c-6046a0a5271c-profile_image-300x300.png,affiliate,Destiny 2
133928858,768,False,164810,True,3372,Leviathan,2016-09-04,https://static-cdn.jtvnw.net/jtv_user_pictures/cb80f6c0-7e71-4610-80a8-220c6db974f6-profile_image-300x300.png,partner,VALORANT
46892468,1895,False,4953,False,818,titosan05,2013-07-31,https://static-cdn.jtvnw.net/jtv_user_pictures/881943f1-7fe2-4ebc-b1d0-ec4c87a3d55b-profile_image-300x300.png,affiliate,BioShock Remastered
128745923,828,True,12262,False,236,Zombo_Land,2016-07-06,https://static-cdn.jtvnw.net/jtv_user_pictures/21561b6d-9619-4b59-85c9-9aa6b982b826-profile_image-300x300.png,affiliate,Hunt: Showdown 1896
84422595,1317,False,4937,False,2255,Ciisarro,2015-03-05,https://static-cdn.jtvnw.net/jtv_user_pictures/22fb3263-1fa7-4d05-9319-69b156be7329-profile_image-300x300.png,affiliate,Chatventures
53625989,1756,False,2802,False,663,Juanjel,2013-12-21,https://static-cdn.jtvnw.net/jtv_user_pictures/juanjel-profile_image-0e97bb7f455ce78c-300x300.jpeg,affiliate,Retro
115075667,978,True,199491,True,1444,Kimeralas,2016-02-07,https://static-cdn.jtvnw.net/jtv_user_pictures/b021e396-ca69-425d-b0de-2c1e8a45d84e-profile_image-300x300.png,affiliate,Cities: Skylines II
124660888,875,False,208895,True,1784,Mishi_Chwan,2016-05-20,https://static-cdn.jtvnw.net/jtv_user_pictures/1d02155b-7ad8-4f3e-9c42-2b03c6dd62fa-profile_image-300x300.png,non_partner,Stray
116156098,957,False,341,False,961,chinchuu07,2016-02-17,https://static-cdn.jtvnw.net/jtv_user_pictures/82d527d5-1590-4464-b9b5-ad6a32969a46-profile_image-300x300.png,non_partner,Slots
67159400,1541,False,28421,False,785,iNnFeR,2014-07-24,https://static-cdn.jtvnw.net/jtv_user_pictures/4cbdfac6-87b5-484e-b31c-b495f322e021-profile_image-300x300.png,affiliate,Call of Duty: Black Ops 6
43162226,1987,False,1201330,True,4331,iMyztique,2013-05-04,https://static-cdn.jtvnw.net/jtv_user_pictures/9bc095de-30f8-41e1-beab-c8d344300ead-profile_image-300x300.png,partner,League of Legends
32121168,2281,False,11279,False,1621,xTemerz,2012-07-14,https://static-cdn.jtvnw.net/jtv_user_pictures/904abedb-fd07-4c3b-a05e-55f183bfc378-profile_image-300x300.png,non_partner,World of Warcraft
75126698,1387,True,1118,False,3534,Tomakoo_,2014-11-14,https://static-cdn.jtvnw.net/jtv_user_pictures/326ddbb0-f6e9-455c-9da8-81572f438bcf-profile_image-300x300.png,affiliate,Just Chatting
36443094,2207,False,981,False,2837,LeoDiBritania,2012-09-25,https://static-cdn.jtvnw.net/jtv_user_pictures/d94118eb-ee4b-452c-bac2-665e60d5022d-profile_image-300x300.jpg,non_partner,Animal Crossing: New Leaf
55584473,1720,False,1006,False,4123,KoeKeanF,2014-01-25,https://static-cdn.jtvnw.net/jtv_user_pictures/efa5496f-d7f5-4d59-a742-975a1060d38c-profile_image-300x300.png,non_partner,SMITE
116726798,958,True,14332,False,1176,paulibreyloko,2016-02-23,https://static-cdn.jtvnw.net/jtv_user_pictures/paulibreyloko-profile_image-fca7bdb5a47e463d-300x300.jpeg,affiliate,F1 2021
60755047,1643,False,11170,False,1757,intimide,2014-04-13,https://static-cdn.jtvnw.net/jtv_user_pictures/0e25e316-b81b-44ea-a7b6-9ff3927abf9b-profile_image-300x300.png,non_partner,PUBG Mobile
37329963,2172,True,10783,False,4041,kosmode_,2012-10-31,https://static-cdn.jtvnw.net/jtv_user_pictures/c34ccb93-68aa-4d0b-89cd-dd5ef6b16957-profile_image-300x300.png,affiliate,Content Warning
175578944,380,False,4312,False,4521,JoseGGTv,2017-09-26,https://static-cdn.jtvnw.net/jtv_user_pictures/e9cf062d-2112-4eae-9e54-c6ab894c2923-profile_image-300x300.png,affiliate,Escape from Tarkov: Arena
77613957,1354,False,310,False,1630,WolfSarter,2014-12-21,https://static-cdn.jtvnw.net/jtv_user_pictures/e823c4b2-d3d2-4f8a-b978-82dc677d9998-profile_image-300x300.png,non_partner,Counter-Strike
56530414,1705,True,3648,False,524,Saulifas,2014-02-10,https://static-cdn.jtvnw.net/jtv_user_pictures/cd5c4aa8-87e1-4a3b-bd8d-1d3ea1d12250-profile_image-300x300.png,affiliate,Dark Souls
69551129,1513,True,1330,False,601,La_Ultima_Puerta,2014-08-21,https://static-cdn.jtvnw.net/jtv_user_pictures/08537020-34b4-4034-af04-f20108587262-profile_image-300x300.png,affiliate,Call of Duty
105370588,1081,True,36712,False,3310,srpopoto,2015-10-27,https://static-cdn.jtvnw.net/jtv_user_pictures/srpopoto-profile_image-00351bf62b031912-300x300.jpeg,affiliate,THE FINALS
42070664,2017,False,15635,False,3945,Manolayn,2013-04-04,https://static-cdn.jtvnw.net/jtv_user_pictures/90ee4d1c-65ca-434e-a157-7729dc833820-profile_image-300x300.png,affiliate,Test Drive Unlimited Solar Crown
83646298,1326,True,30676,False,3339,Jozevillano,2015-02-24,https://static-cdn.jtvnw.net/jtv_user_pictures/205e25114f3e5da5-profile_image-300x300.jpeg,affiliate,Escape from Tarkov
116017108,967,False,7393,False,1110,xtrendkiller,2016-02-16,https://static-cdn.jtvnw.net/jtv_user_pictures/01df59f1-bfee-4280-8b88-febb0f21f0d3-profile_image-300x300.png,non_partner,Far Cry New Dawn
107843595,1050,False,2032,False,2295,sevenzvii,2015-11-23,https://static-cdn.jtvnw.net/jtv_user_pictures/835ba042-cde2-4857-abeb-6f8d16a817cf-profile_image-300x300.png,affiliate,God of War
47254351,1892,False,29939,False,1598,melkiah_,2013-08-07,https://static-cdn.jtvnw.net/user-default-pictures-uv/41780b5a-def8-11e9-94d9-784f43822e80-profile_image-300x300.png,affiliate,Sekiro: Shadows Die Twice
49566640,1838,False,2424,False,2814,benzin360,2013-09-28,https://static-cdn.jtvnw.net/jtv_user_pictures/bdf93df4-1e47-48f1-8b73-44781afecf1a-profile_image-300x300.png,affiliate,Grand Theft Auto V
173882251,395,True,3860,False,3946,OnePugMan,2017-09-12,https://static-cdn.jtvnw.net/jtv_user_pictures/a23f513d-b42b-44c8-8b73-179fc193c151-profile_image-300x300.png,affiliate,Star Wars Outlaws
43627108,1962,False,1303,False,2627,melkhior007,2013-05-17,https://static-cdn.jtvnw.net/jtv_user_pictures/melkhior007-profile_image-1a9267a62eed1f30-300x300.jpeg,non_partner,MechWarrior Online
114882628,980,True,1192,False,3474,AcidHermit,2016-02-05,https://static-cdn.jtvnw.net/jtv_user_pictures/f231d0a4-3efe-4c64-a35c-ef67f963d75e-profile_image-300x300.png,non_partner,Retro
139545213,693,True,5040,False,1470,Dressie_,2016-11-15,https://static-cdn.jtvnw.net/jtv_user_pictures/1a7d9878-7627-494b-b611-38c2fce94522-profile_image-300x300.png,affiliate,Call of Duty: Black Ops 6
55695161,1705,False,9355,False,3320,TRANSITOPESADO,2014-01-27,https://static-cdn.jtvnw.net/jtv_user_pictures/a00ac1c3f2988b50-profile_image-300x300.jpeg,affiliate,FIFA 17
73807989,1447,False,4194,False,3505,standard_gamer,2014-10-26,https://static-cdn.jtvnw.net/jtv_user_pictures/standard_gamer-profile_image-f68ca490f50d1249-300x300.jpeg,affiliate,Software and Game Development
61909660,1624,True,884824,True,1486,Loverio,2014-05-01,https://static-cdn.jtvnw.net/jtv_user_pictures/loverio-profile_image-f84aa70dd1f0a08a-300x300.png,partner,Escape from Tarkov
207529686,157,False,199,False,972,dhazaii,2018-03-22,https://static-cdn.jtvnw.net/jtv_user_pictures/640f669c-275e-41b7-b9f4-077f3c9f4a3b-profile_image-300x300.jpg,non_partner,Call of Duty: Modern Warfare Remastered
150370276,578,True,260,False,3409,Bomberjad,2017-03-13,https://static-cdn.jtvnw.net/jtv_user_pictures/bomberjad-profile_image-70d372b448519460-300x300.png,non_partner,Bloodborne
26150605,2523,True,3540,False,967,ItsNebu,2011-11-14,https://static-cdn.jtvnw.net/jtv_user_pictures/6fa8323b-5062-411b-870f-ddac9201c1f3-profile_image-300x300.png,non_partner,osu!
24853919,2582,False,86831,False,4257,NeoWildSeven,2011-09-16,https://static-cdn.jtvnw.net/jtv_user_pictures/b978e5c9-c7e6-41ba-a824-3ef5eb4d339e-profile_image-300x300.png,affiliate,Age of Empires II
52292027,1779,False,66657,True,3775,3djuegos,2013-11-28,https://static-cdn.jtvnw.net/jtv_user_pictures/22cec514-e92d-414f-9a93-544bebb9f574-profile_image-300x300.png,partner,Just Chatting
145104202,617,False,214,False,4205,xXpiliXx,2017-01-17,https://static-cdn.jtvnw.net/jtv_user_pictures/xxpilixx-profile_image-acfd8d78b3959879-300x300.png,non_partner,Minecraft
32682246,2256,True,2739,False,2433,MCAHC,2012-08-04,https://static-cdn.jtvnw.net/jtv_user_pictures/3d53fd5d-b4ec-4506-af03-1e8d5ff959eb-profile_image-300x300.png,affiliate,League of Legends
